STT,Mẫu xe,Mã phiên bản,Tên phiên bản,Mã màu ngoại thất,Tên màu ngoại thất,Mã nội thất,Tên nội thất,Giá chính xác (đ),Giá cơ bản phiên bản (đ),Chênh lệch giá theo màu (đ),Có sẵn,PID,optionsName,Công suất tối đa,Quãng đường,Chiều dài cơ sở,Tùy chọn nâng cấp (giá tăng thêm)
107,VF 9,NE3MV,Plus tùy chọn 7 chỗ,CE18,Infinity Blanc,CI11,Granite Black,1.529.000.000,1.529.000.000,0,Có,VF-ZVEH-PE1U_2023-NE3MV-CE18-CI11,Trần kính toàn cảnh,402 hp/300 kW,602 km,3.149 mm,
108,VF 9,NE3MV,Plus tùy chọn 7 chỗ,CE1M,Crimson Red,CI11,Granite Black,1.529.000.000,1.529.000.000,0,Có,VF-ZVEH-PE1U_2023-NE3MV-CE1M-CI11,Trần kính toàn cảnh,402 hp/300 kW,602 km,3.149 mm,
109,VF 9,NE3MV,Plus tùy chọn 7 chỗ,CE1M,Crimson Red,CI13,Cotton Beige,1.529.000.000,1.529.000.000,0,Có,VF-ZVEH-PE1U_2023-NE3MV-CE1M-CI13,Trần kính toàn cảnh,402 hp/300 kW,602 km,3.149 mm,
110,VF 9,NE3MV,Plus tùy chọn 7 chỗ,CE1W,Urban Mint,CI11,Granite Black,1.529.000.000,1.529.000.000,0,Không,VF-ZVEH-PE1U_2023-NE3MV-CE1W-CI11,Trần kính toàn cảnh,402 hp/300 kW,602 km,3.149 mm,
111,VF 9,NE3MV,Plus tùy chọn 7 chỗ,CE1W,Urban Mint,CI12,Saddle Brown,1.529.000.000,1.529.000.000,0,Không,VF-ZVEH-PE1U_2023-NE3MV-CE1W-CI12,Trần kính toàn cảnh,402 hp/300 kW,602 km,3.149 mm,
112,VF 9,NE3MV,Plus tùy chọn 7 chỗ,CE11,Jet Black,CI11,Granite Black,1.529.000.000,1.529.000.000,0,Có,VF-ZVEH-PE1U_2023-NE3MV-CE11-CI11,Trần kính toàn cảnh,402 hp/300 kW,602 km,3.149 mm,
113,VF 9,NE3MV,Plus tùy chọn 7 chỗ,CE11,Jet Black,CI13,Cotton Beige,1.529.000.000,1.529.000.000,0,Có,VF-ZVEH-PE1U_2023-NE3MV-CE11-CI13,Trần kính toàn cảnh,402 hp/300 kW,602 km,3.149 mm,
114,VF 9,NE3MV,Plus tùy chọn 7 chỗ,CE11,Jet Black,CI12,Saddle Brown,1.529.000.000,1.529.000.000,0,Có,VF-ZVEH-PE1U_2023-NE3MV-CE11-CI12,Trần kính toàn cảnh,402 hp/300 kW,602 km,3.149 mm,
115,VF 9,NE3MV,Plus tùy chọn 7 chỗ,CE22,Ivy Green,CI12,Saddle Brown,1.541.000.000,1.529.000.000,12.000.000,Không,VF-ZVEH-PE1U_2023-NE3MV-CE22-CI12,Trần kính toàn cảnh,402 hp/300 kW,602 km,3.149 mm,
116,VF 9,NE3MV,Plus tùy chọn 7 chỗ,CE22,Ivy Green,CI11,Granite Black,1.541.000.000,1.529.000.000,12.000.000,Không,VF-ZVEH-PE1U_2023-NE3MV-CE22-CI11,Trần kính toàn cảnh,402 hp/300 kW,602 km,3.149 mm,
117,VF 9,NE3MV,Plus tùy chọn 7 chỗ,CE22,Ivy Green,CI13,Cotton Beige,1.541.000.000,1.529.000.000,12.000.000,Không,VF-ZVEH-PE1U_2023-NE3MV-CE22-CI13,Trần kính toàn cảnh,402 hp/300 kW,602 km,3.149 mm,
118,VF 9,NE3MV,Plus tùy chọn 7 chỗ,CE1V,Zenith Grey,CI11,Granite Black,1.529.000.000,1.529.000.000,0,Không,VF-ZVEH-PE1U_2023-NE3MV-CE1V-CI11,Trần kính toàn cảnh,402 hp/300 kW,602 km,3.149 mm,
119,VF 9,NE3MV,Plus tùy chọn 7 chỗ,CE1V,Zenith Grey,CI12,Saddle Brown,1.529.000.000,1.529.000.000,0,Không,VF-ZVEH-PE1U_2023-NE3MV-CE1V-CI12,Trần kính toàn cảnh,402 hp/300 kW,602 km,3.149 mm,
120,VF 9,NE3MV,Plus tùy chọn 7 chỗ,CE17,Desat Silver,CI12,Saddle Brown,1.541.000.000,1.529.000.000,12.000.000,Không,VF-ZVEH-PE1U_2023-NE3MV-CE17-CI12,Trần kính toàn cảnh,402 hp/300 kW,602 km,3.149 mm,
121,VF 9,NE3MV,Plus tùy chọn 7 chỗ,CE17,Desat Silver,CI11,Granite Black,1.541.000.000,1.529.000.000,12.000.000,Không,VF-ZVEH-PE1U_2023-NE3MV-CE17-CI11,Trần kính toàn cảnh,402 hp/300 kW,602 km,3.149 mm,
122,VF 9,NE3NV,Plus tùy chọn ghế cơ trưởng,CE18,Infinity Blanc,CI11,Granite Black,1.561.000.000,1.561.000.000,0,Có,VF-ZVEH-PE1U_2023-NE3NV-CE18-CI11,Trần kính toàn cảnh,402 hp/300 kW,602 km,3.149 mm,
123,VF 9,NE3NV,Plus tùy chọn ghế cơ trưởng,CE18,Infinity Blanc,CI12,Saddle Brown,1.561.000.000,1.561.000.000,0,Có,VF-ZVEH-PE1U_2023-NE3NV-CE18-CI12,Trần kính toàn cảnh,402 hp/300 kW,602 km,3.149 mm,
124,VF 9,NE3NV,Plus tùy chọn ghế cơ trưởng,CE1M,Crimson Red,CI11,Granite Black,1.561.000.000,1.561.000.000,0,Có,VF-ZVEH-PE1U_2023-NE3NV-CE1M-CI11,Trần kính toàn cảnh,402 hp/300 kW,602 km,3.149 mm,
125,VF 9,NE3NV,Plus tùy chọn ghế cơ trưởng,CE1M,Crimson Red,CI13,Cotton Beige,1.561.000.000,1.561.000.000,0,Có,VF-ZVEH-PE1U_2023-NE3NV-CE1M-CI13,Trần kính toàn cảnh,402 hp/300 kW,602 km,3.149 mm,
126,VF 9,NE3NV,Plus tùy chọn ghế cơ trưởng,CE1W,Urban Mint,CI11,Granite Black,1.561.000.000,1.561.000.000,0,Không,VF-ZVEH-PE1U_2023-NE3NV-CE1W-CI11,Trần kính toàn cảnh,402 hp/300 kW,602 km,3.149 mm,
127,VF 9,NE3NV,Plus tùy chọn ghế cơ trưởng,CE1W,Urban Mint,CI12,Saddle Brown,1.561.000.000,1.561.000.000,0,Không,VF-ZVEH-PE1U_2023-NE3NV-CE1W-CI12,Trần kính toàn cảnh,402 hp/300 kW,602 km,3.149 mm,
128,VF 9,NE3NV,Plus tùy chọn ghế cơ trưởng,CE11,Jet Black,CI13,Cotton Beige,1.561.000.000,1.561.000.000,0,Không,VF-ZVEH-PE1U_2023-NE3NV-CE11-CI13,Trần kính toàn cảnh,402 hp/300 kW,602 km,3.149 mm,
129,VF 9,NE3NV,Plus tùy chọn ghế cơ trưởng,CE11,Jet Black,CI12,Saddle Brown,1.561.000.000,1.561.000.000,0,Không,VF-ZVEH-PE1U_2023-NE3NV-CE11-CI12,Trần kính toàn cảnh,402 hp/300 kW,602 km,3.149 mm,
130,VF 9,NE3NV,Plus tùy chọn ghế cơ trưởng,CE11,Jet Black,CI11,Granite Black,1.561.000.000,1.561.000.000,0,Không,VF-ZVEH-PE1U_2023-NE3NV-CE11-CI11,Trần kính toàn cảnh,402 hp/300 kW,602 km,3.149 mm,
131,VF 9,NE3NV,Plus tùy chọn ghế cơ trưởng,CE22,Ivy Green,CI13,Cotton Beige,1.573.000.000,1.561.000.000,12.000.000,Không,VF-ZVEH-PE1U_2023-NE3NV-CE22-CI13,Trần kính toàn cảnh,402 hp/300 kW,602 km,3.149 mm,
132,VF 9,NE3NV,Plus tùy chọn ghế cơ trưởng,CE22,Ivy Green,CI12,Saddle Brown,1.573.000.000,1.561.000.000,12.000.000,Không,VF-ZVEH-PE1U_2023-NE3NV-CE22-CI12,Trần kính toàn cảnh,402 hp/300 kW,602 km,3.149 mm,
133,VF 9,NE3NV,Plus tùy chọn ghế cơ trưởng,CE22,Ivy Green,CI11,Granite Black,1.573.000.000,1.561.000.000,12.000.000,Không,VF-ZVEH-PE1U_2023-NE3NV-CE22-CI11,Trần kính toàn cảnh,402 hp/300 kW,602 km,3.149 mm,
134,VF 9,NE3NV,Plus tùy chọn ghế cơ trưởng,CE1V,Zenith Grey,CI11,Granite Black,1.561.000.000,1.561.000.000,0,Không,VF-ZVEH-PE1U_2023-NE3NV-CE1V-CI11,Trần kính toàn cảnh,402 hp/300 kW,602 km,3.149 mm,
135,VF 9,NE3NV,Plus tùy chọn ghế cơ trưởng,CE1V,Zenith Grey,CI12,Saddle Brown,1.561.000.000,1.561.000.000,0,Không,VF-ZVEH-PE1U_2023-NE3NV-CE1V-CI12,Trần kính toàn cảnh,402 hp/300 kW,602 km,3.149 mm,
136,VF 9,NE3NV,Plus tùy chọn ghế cơ trưởng,CE17,Desat Silver,CI12,Saddle Brown,1.573.000.000,1.561.000.000,12.000.000,Không,VF-ZVEH-PE1U_2023-NE3NV-CE17-CI12,Trần kính toàn cảnh,402 hp/300 kW,602 km,3.149 mm,
137,VF 9,NE3NV,Plus tùy chọn ghế cơ trưởng,CE17,Desat Silver,CI11,Granite Black,1.573.000.000,1.561.000.000,12.000.000,Không,VF-ZVEH-PE1U_2023-NE3NV-CE17-CI11,Trần kính toàn cảnh,402 hp/300 kW,602 km,3.149 mm,
138,VF MPV 7,SL1WV,Tiêu chuẩn,CE1V,Zenith Grey,CI11,Black,750.000.000,750.000.000,0,Không,VF-ZVEH-EC1V_2025-SL1WV-CE1V-CI11,,150 kW,450 km (NEDC),2.840 mm,
139,VF MPV 7,SL1WV,Tiêu chuẩn,CE1V,Zenith Grey,CI18,Mocca Brown,750.000.000,750.000.000,0,Không,VF-ZVEH-EC1V_2025-SL1WV-CE1V-CI18,,150 kW,450 km (NEDC),2.840 mm,
140,VF MPV 7,SL1WV,Tiêu chuẩn,CE2J,Moonlit Ocean,CI18,Mocca Brown,760.000.000,750.000.000,10.000.000,Không,VF-ZVEH-EC1V_2025-SL1WV-CE2J-CI18,,150 kW,450 km (NEDC),2.840 mm,
141,VF MPV 7,SL1WV,Tiêu chuẩn,CE2J,Moonlit Ocean,CI11,Black,760.000.000,750.000.000,10.000.000,Không,VF-ZVEH-EC1V_2025-SL1WV-CE2J-CI11,,150 kW,450 km (NEDC),2.840 mm,
142,VF MPV 7,SL1WV,Tiêu chuẩn,CE11,Jet Black,CI18,Mocca Brown,750.000.000,750.000.000,0,Không,VF-ZVEH-EC1V_2025-SL1WV-CE11-CI18,,150 kW,450 km (NEDC),2.840 mm,
143,VF MPV 7,SL1WV,Tiêu chuẩn,CE11,Jet Black,CI11,Black,750.000.000,750.000.000,0,Không,VF-ZVEH-EC1V_2025-SL1WV-CE11-CI11,,150 kW,450 km (NEDC),2.840 mm,
144,VF MPV 7,SL1WV,Tiêu chuẩn,CE18,Infinity Blanc,CI18,Mocca Brown,750.000.000,750.000.000,0,Không,VF-ZVEH-EC1V_2025-SL1WV-CE18-CI18,,150 kW,450 km (NEDC),2.840 mm,
145,VF MPV 7,SL1WV,Tiêu chuẩn,CE18,Infinity Blanc,CI11,Black,750.000.000,750.000.000,0,Không,VF-ZVEH-EC1V_2025-SL1WV-CE18-CI11,,150 kW,450 km (NEDC),2.840 mm,
146,VF MPV 7,SL1WV,Tiêu chuẩn,CE2Q,Solar Ruby,CI11,Black,750.000.000,750.000.000,0,Không,VF-ZVEH-EC1V_2025-SL1WV-CE2Q-CI11,,150 kW,450 km (NEDC),2.840 mm,
147,VF MPV 7,SL1WV,Tiêu chuẩn,CE2N,Introspective Brown,CI11,Black,760.000.000,750.000.000,10.000.000,Không,VF-ZVEH-EC1V_2025-SL1WV-CE2N-CI11,,150 kW,450 km (NEDC),2.840 mm,
148,VF 8 The All New,HC11V,Comfort,CE33,Starburst Blue,CI12,Saddle Brown,899.000.000,899.000.000,0,Không,VF-ZVEH-EC25_2025-HC11V-CE33-CI12,,170 kW,480-500 km (NEDC) (Tùy điều kiện vận hành),2.840mm,
149,VF 8 The All New,HC11V,Comfort,CE33,Starburst Blue,CI11,Black,899.000.000,899.000.000,0,Không,VF-ZVEH-EC25_2025-HC11V-CE33-CI11,,170 kW,480-500 km (NEDC) (Tùy điều kiện vận hành),2.840mm,
150,VF 8 The All New,HC11V,Comfort,1832,Vitality Orange Body - Infinity Blanc Roof,CI11,Black,911.000.000,899.000.000,12.000.000,Không,VF-ZVEH-EC25_2025-HC11V-1832-CI11,,170 kW,480-500 km (NEDC) (Tùy điều kiện vận hành),2.840mm,
151,VF 8 The All New,HC11V,Comfort,1833,Starburst Blue Body - Infinity Blanc Roof,CI12,Saddle Brown,911.000.000,899.000.000,12.000.000,Không,VF-ZVEH-EC25_2025-HC11V-1833-CI12,,170 kW,480-500 km (NEDC) (Tùy điều kiện vận hành),2.840mm,
152,VF 8 The All New,HC11V,Comfort,1833,Starburst Blue Body - Infinity Blanc Roof,CI11,Black,911.000.000,899.000.000,12.000.000,Không,VF-ZVEH-EC25_2025-HC11V-1833-CI11,,170 kW,480-500 km (NEDC) (Tùy điều kiện vận hành),2.840mm,
153,VF 8 The All New,HC11V,Comfort,CE11,Jet Black,CI11,Black,899.000.000,899.000.000,0,Không,VF-ZVEH-EC25_2025-HC11V-CE11-CI11,,170 kW,480-500 km (NEDC) (Tùy điều kiện vận hành),2.840mm,
154,VF 8 The All New,HC11V,Comfort,CE11,Jet Black,CI12,Saddle Brown,899.000.000,899.000.000,0,Không,VF-ZVEH-EC25_2025-HC11V-CE11-CI12,,170 kW,480-500 km (NEDC) (Tùy điều kiện vận hành),2.840mm,
155,VF 8 The All New,HC11V,Comfort,CE32,Vitality Orange,CI11,Black,911.000.000,899.000.000,12.000.000,Không,VF-ZVEH-EC25_2025-HC11V-CE32-CI11,,170 kW,480-500 km (NEDC) (Tùy điều kiện vận hành),2.840mm,
156,VF 8 The All New,HC11V,Comfort,112Q,Solar Ruby Body - Jet Black Roof,CI11,Black,911.000.000,899.000.000,12.000.000,Không,VF-ZVEH-EC25_2025-HC11V-112Q-CI11,,170 kW,480-500 km (NEDC) (Tùy điều kiện vận hành),2.840mm,
157,VF 8 The All New,HC11V,Comfort,3111,Jet Black Body - Stealth Gray Roof,CI11,Black,911.000.000,899.000.000,12.000.000,Không,VF-ZVEH-EC25_2025-HC11V-3111-CI11,,170 kW,480-500 km (NEDC) (Tùy điều kiện vận hành),2.840mm,
158,VF 8 The All New,HC11V,Comfort,3111,Jet Black Body - Stealth Gray Roof,CI12,Saddle Brown,911.000.000,899.000.000,12.000.000,Không,VF-ZVEH-EC25_2025-HC11V-3111-CI12,,170 kW,480-500 km (NEDC) (Tùy điều kiện vận hành),2.840mm,
159,VF 8 The All New,HC11V,Comfort,CE2O,Mysterioso Purple,CI11,Black,911.000.000,899.000.000,12.000.000,Không,VF-ZVEH-EC25_2025-HC11V-CE2O-CI11,,170 kW,480-500 km (NEDC) (Tùy điều kiện vận hành),2.840mm,
160,VF 8 The All New,HC11V,Comfort,1132,Vitality Orange Body - Jet Black Roof,CI11,Black,911.000.000,899.000.000,12.000.000,Không,VF-ZVEH-EC25_2025-HC11V-1132-CI11,,170 kW,480-500 km (NEDC) (Tùy điều kiện vận hành),2.840mm,
161,VF 8 The All New,HC11V,Comfort,CE18,Infinity Blanc,CI11,Black,899.000.000,899.000.000,0,Không,VF-ZVEH-EC25_2025-HC11V-CE18-CI11,,170 kW,480-500 km (NEDC) (Tùy điều kiện vận hành),2.840mm,
162,VF 8 The All New,HC11V,Comfort,CE18,Infinity Blanc,CI12,Saddle Brown,899.000.000,899.000.000,0,Không,VF-ZVEH-EC25_2025-HC11V-CE18-CI12,,170 kW,480-500 km (NEDC) (Tùy điều kiện vận hành),2.840mm,
163,VF 8 The All New,HC11V,Comfort,CE2Q,Solar Ruby,CI11,Black,899.000.000,899.000.000,0,Không,VF-ZVEH-EC25_2025-HC11V-CE2Q-CI11,,170 kW,480-500 km (NEDC) (Tùy điều kiện vận hành),2.840mm,
164,VF 8 The All New,HC11V,Comfort,312O,Mysterioso Purple Body - Stealth Gray Roof,CI11,Black,911.000.000,899.000.000,12.000.000,Không,VF-ZVEH-EC25_2025-HC11V-312O-CI11,,170 kW,480-500 km (NEDC) (Tùy điều kiện vận hành),2.840mm,
